,Course Code,Course,EOS,Mid
0,AL801,Software Design with Virtual Reality and Gaming,304,328
1,AL802,Software Design with Cloud Computing,301,306
2,AL803,Software Design with Mobile Apps and Connected Devices,309,337
3,AL805,Network Management and Cloud Infrastructure,329,442
4,AL810,Quantity Surveying,307,349
5,AL820,Mechanical and Polymer Engineering 300     358,,
6,AL830,General Nursing 410,429,
7,AL832,Psychiatric Nursing,387,403
8,AL836,Nutrition and Health Science 352,383,
9,AL837,Sports Science with Exercise Physiology,351,392
10,AL838,Biotechnology,302,372
11,AL839,Microbiology,322,371
12,AL840,Pharmaceutical Sciences,328,411
13,AL841,Athletic and Rehabilitation Therapy,423,430
14,AL842,Bioveterinary Science,310,366
15,AL843,Physical Activity and Health Science,310,330
16,AL850,Business,307,356
17,AL851,Business and Law,301,341
18,AL852,Accounting (with optional placement),290,346
19,AL853,Accounting and Law,305,320
20,AL855,Hospitality Management (with International placement),312,357
21,AL857,Digital Marketing,300,360
22,AL860,Social Care Practice,309,338
23,AL861,Animation and Illustration (portfolio) 615  899,,
24,AL863,Graphic and Digital Design (portfolio) 703    898,,
25,AL864,Early Years Care and Education,307,348
26,AL870,Applied Psychology  409,445,
27,CW018,"Business (options, Wexford)",327,349
28,CW028,Early Childhood Education and Care (Wexford)    252,308,
29,CW038,"Art (portfolio, Wexford) 700    700",,
30,CW058,Tourism and Event Management (Wexford),252,262
31,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280
32,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320
33,CW088,Visual Communications and Design (Wexford),309,345
34,CW108,Science (options),261,326
35,CW128,Brewing and Distilling,271,298
36,CW178,Sport Science (options),399,424
37,CW188,Sport Rehabilitation and Athletic Therapy,454,473
38,CW208,Computer Games Development,281,338
39,CW238,Software Development,300,343
40,CW248,Information Technology Management,307,357
41,CW258,Cybercrime and IT Security,300,328
42,CW268,Computing in Interactive Digital Art and Design,274,321
43,CW438,Construction (options),271,308
44,CW468,Architectural Technology,252,290
45,CW478,Civil Engineering,348,383
46,CW548,Mechanical Engineering,310,351
47,CW558,Electronic Systems,279,338
48,CW568,Aerospace Engineering,366,422
49,CW578,TV and Media Production,327,361
50,CW708,Law - LLB,298,328
51,CW728,Product Design Innovation,286,355
52,CW748,Early Childhood Education and Care,265,338
53,CW758,Applied Social Studies - Professional Social Care,290,319
54,CW808,Media and Public Relations,248,307
55,CW848,Digital Marketing with Analytics,279,307
56,CW858,"Sports Management and Coaching (options, portfolio) 700 700",,
57,CW908,Business (options),260,307
58,CW938,Business with Law,270,288
59,CW948,Accounting,301,408
60,PC405,"Social, Political and Community Studies",251,296
61,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289
62,PC411,English and History (fulfils Teaching Council requirements),168,289
63,CR105,Chemical and Biopharmaceutical Engineering,432,    498
64,CR106,Software Development,351,    393
65,CR108,Mechanical Engineering,425,    487
66,CR109,Structural Engineering,341,    467
67,CR110,Automotive Business Management and Technology,318,347
68,CR112,Creative Digital Media,335,    389
69,CR116,Computer Systems,318,    381
70,CR121,Music at CIT Cork School of Music 633   1052,,
71,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music 972 1021,,
72,CR126,Popular Music: Drums at CIT Cork School of Music 878    1043,,
73,CR127,Popular Music: Electric Guitar at CIT Cork School of Music 584  761,,
74,CR128,Popular Music: Keyboards at CIT Cork School of Music 839    1009,,
75,CR129,Popular Music: Voice at CIT Cork School of Music 857    927,,
76,CR130,Musical Theatre, 500,600
77,CR150,Business Information Systems,326,371
78,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979    979,
79,CR220,Fine Art at CIT Crawford College of Art and Design 620  819,,
80,CR225,Photography with New Media, 920,920
81,CR305,Physical Sciences (Common Entry),279,309
82,CR310,IT Management,282,317
83,CR320,Biomedical Science (Offered jointly by CIT and UCC),546,556
84,CR325,Pharmaceutical Biotechnology,388,422
85,CR333,Nutrition and Health Science,360,393
86,CR335,Biological Sciences (Common Entry),381,419
87,CR340,Analytical Chemistry with Quality Assurance,288,315
88,CR360,Instrument Engineering,291,329
89,CR365,Environmental Science and Sustainable Technology,334,362
90,CR370,Agri-Biosciences,408,431
91,CR400,Accounting,316,389
92,CR420,Marketing,288,329
93,CR425,International Business with Language,300,392
94,CR500,Engineering (Common Entry),381,424
95,CR510,Sustainable Energy Engineering,319,343
96,CR520,Biomedical Engineering,434,477
97,CR560,Architectural Technology,288,332
98,CR565,Interior Architecture,336,390
99,CR570,Quantity Surveying,279,342
100,CR572,Construction Management,253,300
101,CR580,Electrical Engineering,344,374
102,CR590,Electronic Engineering,342,411
103,CR600,Visual Communications,587,888
104,CR660,Tourism Management,249,290
105,CR700,Theatre and Drama Studies at CIT Cork School of Music,768,906
106,CK101,Arts - 3 years,300,368
107,CK102,Social Science,391,431
108,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int'l Pathway),340,409
109,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397,442
110,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int'l Pathway),326,388
111,CK108,Arts International - 4 years,429,466
112,CK109,English - 3 years or 4 years (International Pathway),347,423
113,CK110,World Languages,456,506
114,CK111,Early Years and Childhood Studies,398,429
115,CK112,Theatre and Performative Practices - 3 or 4 years (Int'l Pathway),324,470
116,CK113,Criminology - 3 years or 4 years (International Pathway),408,430
117,CK114,Social Science (Youth and Community Work) - 3 years, ,
118,CK115,Social Work - Mature Applicants only, ,
119,CK116,Sports Studies and Physical Education,499,520
120,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int'l Pathway),307,361
121,CK120,Applied Psychology,506,532
122,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466
123,CK122,Government and Political Science,355,410
124,CK201,Commerce,465,489
125,CK202,Accounting,467,506
126,CK203,Business Information Systems,409,444
127,CK204,Finance,531,555
128,CK205,Commerce (International) with French,409,473
129,CK206,Commerce (International) with German,408,446
130,CK207,Commerce (International) with Italian,408,425
131,CK208,Commerce (International) with Hispanic Studies,431,455
132,CK209,Commerce (International) with Irish,509,528
133,CK211,Commerce (International) with Chinese Studies,398,420
134,CK212,Economics (Transformational Learning) - 3 or 4 years (Int'l Pathway),400,429
135,CK301,Law (Pathways) -  3 or 4 years,476,519
136,CK302,Law and French,453,531
137,CK304,Law and Irish,462,510
138,CK307,Law and Business,522,554
139,CK401,Computer Science,402,456
140,CK402,Biological and Chemical Sciences,498,520
141,CK404,"Biological, Earth and Environmental Sciences",412,451
142,CK405,Genetics,476,496
143,CK406,Chemical Sciences,457,488
144,CK407,Mathematical Sciences,531,578
145,CK408,Physics and Astrophysics,511,566
146,CK409,Industrial Physics (offered jointly by UCC and CIT),413,532
147,CK411,Data Science and Analytics,509,542
148,CK412,Agricultural Science,457,509
149,CK502,Food Marketing and Entrepreneurship,433,456
150,CK504,Nutritional Sciences,492,509
151,CK505,Food Science,444,477
152,CK506,International Development and Food Policy,367,410
153,CK600,Engineering,465,532
154,CK606,Architecture (offered jointly by UCC and CIT),465,496
155,CK701,Medicine (Undergraduate Entry - HPAT required),729,740
156,CK702,Dentistry,590,613
157,CK703,Pharmacy,577,589
158,CK704,Occupational Therapy,532 ,554
159,CK705,Speech and Language Therapy,509,529
160,CK706,Public Health Sciences,419,    451
161,CK707,Medical and Health Sciences,510,543
162,CK710,General Nursing,440,    466
163,CK712,Children's and General Nursing (Integrated),499 ,520
164,CK720,Mental Health Nursing,398 ,429
165,CK730,Intellectual Disability Nursing,359 ,388
166,CK740,Midwifery,444,474
167,CK791,Medicine  - Graduate Entry (GAMSAT required), 58 ,59
168,AC120,International Business,234 ,269
169,AC137,Liberal Arts,252 ,275
170,CT125,Information Technology,235 ,280
171,CM001,Education - Primary Teaching,452,462
172,CM002,Education - Primary Teaching - Gaeltacht Applicants,421,440
173,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,506
174,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492,569
175,CM010,Education Studies,317 ,    373
176,CM020,Early Childhood Education,336,        363
177,DB500,Computing,242,3   20
178,DB501,Computing (Cloud Computing),326,    329
179,DB502,Computing (Data Analytics and Big Data),269 ,269
180,DB503,Computing (Software Development),242,    282
181,DB504,Computing (Web and Mobile Technology),227,    269
182,DB510,Audio Production and Music Project Management,233,    293
183,DB512,Business Studies,229,    301
184,DB514,Business Studies (Law),269,    337
185,DB515,Business Studies (Human Resource Management),225,    288
186,DB516,Financial Services,328,    336
187,DB517,Event Management,226 ,327
188,DB518,Marketing (Digital Media),210,    289
189,DB521,Accounting and Finance,225,    271
190,DB524,Business Information Systems,402,    402
191,DB525,Marketing (Digital Media and Cloud Computing),284,    309
192,DB526,Business Information Systems (Cloud Computing),253,    288
193,DB527,Applied Social Care,235 ,288
194,DB531,Marketing,220,    288
195,DB562,Psychology,208 ,310
196,DB566,Social Science,216,    308
197,DB567,Film,192,    295
198,DB568,Law,245,308
199,DB569,Business (Psychology),279,    338
200,DC001,Education - Early Childhood Education,398,    424
201,DC002,Education - Primary Teaching,462 ,485
202,DC003,Education - Primary Teaching - Gaeltacht Applicants, 433,473
203,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE), 357,
204,DC005,Education - Primary Teaching - Irish Sign Language, 316,316
205,DC009,Arts (Joint Honours) - Humanities,347,408
206,DC010,Post Primary Teacher Education - Religious Education and English,386,    413
207,DC011,Post Primary Teacher Education - Religious Education and History,352 ,389
208,DC012,Post Primary Teacher Education - Religious Education and Music,367,415
209,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410 ,509
210,DC014,BA in Jazz and Contemporary Music Performance, 428    ,590
211,DC110,Business Studies International,440,    462
212,DC111,Business Studies,463,    479
213,DC112,Global Business (France),495,    510
214,DC113,Global Business (Germany),440,476
215,DC114,Global Business (Spain),501 ,543
216,DC115,Accounting and Finance,487 ,500
217,DC116,Global Business (USA),578 ,589
218,DC117,Aviation Management / Aviation Management with Pilot Studies,463 ,487
219,DC118,Gnó agus Gaeilge / Business and Irish,357,    399
220,DC119,Global Business (Canada),566 ,577
221,DC120,Enterprise Computing,350,    389
222,DC121,Computer Applications,370,    418
223,DC123,Data Science,467,    511
224,DC126,Actuarial Mathematics,520,    543
225,DC127,Common Entry into Actuarial and Financial Mathematics,509,    531
226,DC131,Communication Studies,400,    441
227,DC132,Journalism,401,    440
228,DC133,Multimedia,403,    451
229,DC155,Applied Language and Translation Studies,371,    430
230,DC161,Analytical Science,446,    463
231,DC162,Chemical and Pharmaceutical Sciences,488,    498
232,DC166,Environmental Science and Technology,412,442
233,DC167,Physics with Astronomy,434,477
234,DC168,Genetics and Cell Biology,489,500
235,DC171,Applied Physics,402,433
236,DC173,Physics with Biomedical Sciences,402,458
237,DC181,Biotechnology,476,488
238,DC190,Electronic and Computer Engineering (with choice of four majors),391,433
239,DC193,Mechatronic Engineering,404,445
240,DC195,Mechanical and Manufacturing Engineering,401,444
241,DC197,Biomedical Engineering,402,446
242,DC200,Common Entry into Engineering (Undenominated Entry),381,444
243,DC201,Common Entry into Science (Undenominated Entry),454,477
244,DC202,Sport Science and Health,467,476
245,DC203,Science Education,424,476
246,DC204,Athletic Therapy and Training,484,500
247,DC205,Physical Education with Biology,490,521
248,DC206,Physical Education with Mathematics,443,476
249,DC208,Psychology,509,521
250,DC209,Health and Society,419,440
251,DC215,General Nursing,414,443
252,DC216,Mental Health Nursing,368,389
253,DC217,Intellectual Disability Nursing,347,362
254,DC218,Children's and General Nursing (Integrated),467,480
255,DC230,"Economics, Politics and Law",400,431
256,DC231,International Relations,387,445
257,DC232,Law and Society (BCL),453,487
258,DC235,Education and Training - Daytime Delivery Mode (full-time),307,327
259,DC238,Social Sciences and Cultural Innovation,358,388
260,DC240,"Marketing, Innovation and Technology",451,474
261,DC291,Arts (Joint Honours) - Media Studies,349,392
262,DC292,Arts (Joint Honours) - Law,356,388
263,DC293,Arts (Joint Honours) - International Languages,369,400
264,DC295,Arts (Joint Honours) - Politics,348,387
265,DT001,Product Design,433,464
266,DT028,Transport Operations and Technology,279,348
267,DT035,Electrical Services and Energy Management,293,340
268,DT066,Engineering (General Entry),400,457
269,DT101,Architecture (test and interview),618,647
270,DT106,Planning and Environmental Management,312,337
271,DT110,Property Economics (Valuation Surveying),367,424
272,DT111,Quantity Surveying and Construction Economics,391,421
273,DT112,Geographic Science,287,335
274,DT117,Construction Management,356,373
275,DT175,Architectural Technology,388,425
276,DT201,Science (General Entry),464,477
277,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403
278,DT204,Biomedical Science,501,512
279,DT205,Mathematical Sciences,315,363
280,DT206,Biomedical and Molecular Diagnostics,473,487
281,DT211,Computer Science (Infrastructure),381,414
282,DT220,Industrial Mathematics,300,317
283,DT221,Physics with Energy and Environment,348,436
284,DT222,Physics Technology,321,371
285,DT223,Human Nutrition and Dietetics,553,566
286,DT224,Optometry,487,529
287,DT225,Public Health Nutrition,440,476
288,DT227,Science with Nanotechnology,312,361
289,DT228,Computer Science,451,466
290,DT229,Clinical Measurement Science,491,509
291,DT235,Physics with Medical Physics and Bioengineering,357,403
292,DT282,Computer Science (International),377,402
293,DT299,Chemical Sciences with Medicinal Chemistry,420,445
294,DT302,Business Analytics,325,403
295,DT304,E-Commerce in Retailing,341,388
296,DT321,Business and Law,462,478
297,DT341,Marketing,400,419
298,DT343,Retail and Services Management,301,332
299,DT354,Business Computing,322,341
300,DT358,Logistics and Supply Chain Management,300,359
301,DT365,Business and Management,440,456
302,DT366,Accounting and Finance,432,454
303,DT398,Human Resource Management,375,388
304,DT399,Economics and Finance,437,465
305,DT401,International Hospitality Management,300,337
306,DT405,Culinary Science,308,377
307,DT407,Culinary Arts,271,342
308,DT412,Tourism Marketing,284,322
309,DT413,Event Management,356,389
310,DT416,Culinary Entrepreneurship,275,339
311,DT420,Nutraceuticals in Health and Nutrition,392,432
312,DT421,Food Innovation,321,366
313,DT422,Pharmaceutical Healthcare,397,423
314,DT491,Environmental Health,343,380
315,DT501,Music, 383,520
316,DT504,Film and Broadcasting,443,467
317,DT506,Commercial Modern Music, 468,835
318,DT508,Game Design,403,454
319,DT517,Languages and English Studies,326,419
320,DT518,Languages and International Tourism,307,357
321,DT529,Drama (Performance), 371,519
322,DT532,Law (LL.B.),422,441
323,DT533,Contemporary Visual Culture, ,
324,DT544,Interior Design, 552,866
325,DT545,Design - Visual Communication, 667,897
326,DT546,Fine Art, 668,813
327,DT555,International Business and Languages,353,399
328,DT559,Photography, 700,926
329,DT571,Social Care,394,424
330,DT572,Early Childhood Education,385,403
331,DT582,Journalism,347,373
332,DT596,Print Media Technology and Management,252,311
333,DT597,Creative and Cultural Industries,280,369
334,DL821,"English, Media and Cultural Studies",211,317
335,DL822,Arts Management,209,319
336,DL823,Business Studies - Entrepreneurship and Management,260,316
337,DL825,Applied Psychology,349,413
338,DL826,Visual Communication Design, 736,989
339,DL827,Art,583,902
340,DL828,"3D Design, Modelmaking and Digital Art",691,866
341,DL829,Design for Stage and Screen (Costume Design),817,1021
342,DL830,Design for Stage and Screen (Makeup Design),879,953
343,DL831,Design for Stage and Screen (Production Design),893,1073
344,DL832,Animation,855,1055
345,DL833,Photography,636,791
346,DL834,Film and Television Production, 933    1011,
347,DL835,Creative Media Technologies,237,    289
348,DL836,Creative Computing,217 ,326
349,DL837,New Media Studies,290,349
350,DL838,Creative Music Production, 746     873,
351,GC200,Business Studies (Cork),269 ,359
352,GC201,Accounting and Finance (Cork),251,    388
353,GC230,Computing Science (Cork),228 ,327
354,GC300,Business Studies (Limerick),251,302
355,GC301,Accounting and Finance,307,    314
356,GC302,"Business Studies - (HRM, Limerick)",269 ,269
357,GC305,International Hospitality Management (Limerick),327,327
358,GC400,Business Studies (Dublin),246,297
359,GC401,Accounting and Finance (Dublin),181     ,309
360,GC402,"Business Studies (HRM, Dublin)",217,        290
361,GC403,Law (Dublin),225,        308
362,GC405,International Hospitality Management (Dublin),254 ,272
363,GC407,"Business Studies (Marketing, Dublin)",246 ,330
364,GC430,Computing Science (Dublin),217,269
365,GC450,Journalism and Visual Media (Dublin),227,    307
366,GC462,Design Communication (Dublin),,
367,GC489,Interior Architecture (Dublin),267,361
368,GC494,Fashion Design (Dublin), ,
369,ID001,Accounting and Finance,229,    291
370,ID002,Business Studies,285 ,366
371,ID003,Business Studies with Chinese,,
372,BN101,Business,252,289
373,BN103,Business and Information Technology,254,290
374,BN104,Computing (Information Technology),260,293
375,BN107,Applied Social Studies in Social Care,300,328
376,BN108,Engineering (Common Entry with Award options),271,318
377,BN109,Business (Common Entry with Award options),260,279
378,BN110,International Business,253,308
379,BN111,Sports Management and Coaching,270,298
380,BN112,Creative Digital Media,280,329
381,BN113,Horticulture,289,321
382,BN114,Accounting and Finance,280,332
383,BN115,Community and Youth Development,250,298
384,BN117,Computer Engineering in Mobile Systems,273,311
385,BN118,Early Childhood Care and Education,290,320
386,BN119,Digital Marketing,270,308
387,BN120,Digital Forensics and Cyber Security,281,326
388,BN121,Mechatronic Engineering,276,340
389,BN123,"Design,Technology and Innovation",297,318
390,TA022,Creative Digital Media,260,318
391,TA023,Advertising and Marketing Communications,235,299
392,TA024,Early Childhood Care and Education,217,307
393,TA025,Social Care Practice,261,297
394,TA026,International Hospitality and Tourism Management,208,269
395,TA027,Botanical Cuisine,236,273
396,TA028,Digital Marketing Technologies,220,313
397,TA121,Accounting and Finance,202,328
398,TA122,Management,218,297
399,TA123,Marketing Management,207,284
400,TA125,International Business,229,300
401,TA221,Electronic Engineering,251,321
402,TA222,Mechanical Engineering,243,302
403,TA223,Sustainable Energy Engineering,236,305
404,TA224,Biomedical Design,218,324
405,TA225,Automation Engineering,235,288
406,TA226,Engineering Software,243,304
407,TA321,Pharmaceutical Science,261,298
408,TA322,Computing,200,294
409,TA323,Computing with IT Management,243,309
410,TA326,DNA and Forensic Analysis,300,362
411,TA327,Sports Science and Health,341,381
412,TA328,Computing with Language (French/German/Spanish),218,317
413,TA329,Computing with Data Analytics,218,296
414,AD101,First Year Art & Design (Common Entry),    ,550
415,AD102,Graphic Design and Moving Image Design,    ,635
416,AD103,Textile & Surface Design and Jewellery & Objects,    ,545
417,AD202,Education & Design or Fine Art (Second Level Teaching),    ,580
418,AD204,Fine Art,    ,600
419,AD211,Fashion Design,    ,600
420,AD212,Product Design,    ,600
421,AD215,Visual Culture,300,338
422,AD217,Illustration,    ,625
423,AD222,Interaction Design,    ,657
424,NC003,Computing (Degree Award options),261,316
425,NC005,Human Resource Management,297,320
426,NC009,Business,297,339
427,NC010,Psychology,366,399
428,NC020,Marketing Practice,270,307
429,NC022,Accounting and Finance,338,376
430,NC023,Technology Management (with specialisations),260,303
431,NC025,Data Science,297,371
432,RC001,Medicine - Undergraduate Entry (HPAT required),729,733
433,RC004,Physiotherapy,532,542
434,RC005,Pharmacy,555,566
435,RC101,Medicine - Graduate Entry (GAMSAT required), 60,    62
436,TR002,Music, 414,473
437,TR003,History,486 ,518
438,TR004,Law,532,    552
439,TR005,Philosophy,391,    446
440,TR006,Psychology,555,577
441,TR007,Clinical Speech and Language Studies,499,    529
442,TR009,Music Education, 430,465
443,TR012,History and Political Science,532,557
444,TR015,"Philosophy, Political Science, Economics and Sociology",566,    577
445,TR016,Deaf Studies,337,    372
446,TR017,Law and Business,576,    589
447,TR018,Law and French,532,554
448,TR019,Law and German,523 ,555
449,TR020,Law and Political Science,567,    600
450,TR021,"Classics, Ancient History and Archaeology",377 ,495
451,TR022,Early and Modern Irish,347 ,407
452,TR023,English Studies,463 ,511
453,TR024,European Studies,520,    544
454,TR025,Drama and Theatre Studies, 489,531
455,TR028,Ancient and Medieval History and Culture,339,    451
456,TR029,Political Science and Geography,477,    500
457,TR031,Mathematics,566,    589
458,TR032,Engineering,487 ,520
459,TR033,Computer Science,465,488
460,TR034,Management Science and Information Systems Studies,589,602
461,TR035,Theoretical Physics,554,    601
462,TR038,Engineering with Management,499 ,543
463,TR039,Computer Science and Language,435,    498
464,TR040,Middle Eastern and European Languages and Cultures,485,    518
465,TR041,Religion,347,    393
466,TR051,Medicine (HPAT required), 730,739
467,TR052,Dental Science,590 ,602
468,TR053,Physiotherapy,533 ,544
469,TR054,Occupational Therapy,500,    520
470,TR055,Radiation Therapy,510 ,521
471,TR056,Human Health and Disease,543,    565
